Method,K-Shot,Attack Traces,Key Rank,Run
MAML,5,100,72,10
MAML,5,500,52,10
MAML,5,1000,230,10
MAML,5,2000,249,10
MAML,5,5000,254,10
MAML,5,10000,217,10
ProtoNet,5,100,154,10
ProtoNet,5,500,235,10
ProtoNet,5,1000,208,10
ProtoNet,5,2000,94,10
ProtoNet,5,5000,78,10
ProtoNet,5,10000,122,10
Siamese,5,100,173,10
Siamese,5,500,244,10
Siamese,5,1000,100,10
Siamese,5,2000,52,10
Siamese,5,5000,7,10
Siamese,5,10000,26,10
MAML,10,100,206,10
MAML,10,500,92,10
MAML,10,1000,109,10
MAML,10,2000,123,10
MAML,10,5000,128,10
MAML,10,10000,236,10
ProtoNet,10,100,91,10
ProtoNet,10,500,224,10
ProtoNet,10,1000,221,10
ProtoNet,10,2000,220,10
ProtoNet,10,5000,185,10
ProtoNet,10,10000,110,10
Siamese,10,100,86,10
Siamese,10,500,196,10
Siamese,10,1000,180,10
Siamese,10,2000,223,10
Siamese,10,5000,119,10
Siamese,10,10000,66,10
MAML,15,100,47,10
MAML,15,500,82,10
MAML,15,1000,1,10
MAML,15,2000,8,10
MAML,15,5000,0,10
MAML,15,10000,1,10
ProtoNet,15,100,129,10
ProtoNet,15,500,178,10
ProtoNet,15,1000,37,10
ProtoNet,15,2000,98,10
ProtoNet,15,5000,26,10
ProtoNet,15,10000,8,10
Siamese,15,100,148,10
Siamese,15,500,140,10
Siamese,15,1000,62,10
Siamese,15,2000,119,10
Siamese,15,5000,12,10
Siamese,15,10000,4,10
MAML,20,100,61,10
MAML,20,500,175,10
MAML,20,1000,87,10
MAML,20,2000,66,10
MAML,20,5000,131,10
MAML,20,10000,152,10
ProtoNet,20,100,219,10
ProtoNet,20,500,150,10
ProtoNet,20,1000,232,10
ProtoNet,20,2000,241,10
ProtoNet,20,5000,156,10
ProtoNet,20,10000,140,10
Siamese,20,100,185,10
Siamese,20,500,103,10
Siamese,20,1000,169,10
Siamese,20,2000,227,10
Siamese,20,5000,161,10
Siamese,20,10000,26,10
