Method,K-Shot,Attack Traces,Key Rank,Run
MAML,5,100,193,8
MAML,5,500,156,8
MAML,5,1000,145,8
MAML,5,2000,212,8
MAML,5,5000,183,8
MAML,5,10000,187,8
ProtoNet,5,100,109,8
ProtoNet,5,500,76,8
ProtoNet,5,1000,147,8
ProtoNet,5,2000,36,8
ProtoNet,5,5000,101,8
ProtoNet,5,10000,97,8
Siamese,5,100,64,8
Siamese,5,500,118,8
Siamese,5,1000,145,8
Siamese,5,2000,27,8
Siamese,5,5000,43,8
Siamese,5,10000,10,8
MAML,10,100,35,8
MAML,10,500,149,8
MAML,10,1000,124,8
MAML,10,2000,68,8
MAML,10,5000,146,8
MAML,10,10000,53,8
ProtoNet,10,100,246,8
ProtoNet,10,500,233,8
ProtoNet,10,1000,210,8
ProtoNet,10,2000,177,8
ProtoNet,10,5000,133,8
ProtoNet,10,10000,71,8
Siamese,10,100,177,8
Siamese,10,500,160,8
Siamese,10,1000,157,8
Siamese,10,2000,201,8
Siamese,10,5000,166,8
Siamese,10,10000,158,8
MAML,15,100,129,8
MAML,15,500,153,8
MAML,15,1000,109,8
MAML,15,2000,92,8
MAML,15,5000,165,8
MAML,15,10000,190,8
ProtoNet,15,100,213,8
ProtoNet,15,500,47,8
ProtoNet,15,1000,165,8
ProtoNet,15,2000,11,8
ProtoNet,15,5000,74,8
ProtoNet,15,10000,214,8
Siamese,15,100,181,8
Siamese,15,500,70,8
Siamese,15,1000,112,8
Siamese,15,2000,8,8
Siamese,15,5000,55,8
Siamese,15,10000,219,8
MAML,20,100,200,8
MAML,20,500,158,8
MAML,20,1000,128,8
MAML,20,2000,163,8
MAML,20,5000,206,8
MAML,20,10000,76,8
ProtoNet,20,100,248,8
ProtoNet,20,500,114,8
ProtoNet,20,1000,207,8
ProtoNet,20,2000,165,8
ProtoNet,20,5000,157,8
ProtoNet,20,10000,98,8
Siamese,20,100,254,8
Siamese,20,500,205,8
Siamese,20,1000,236,8
Siamese,20,2000,230,8
Siamese,20,5000,207,8
Siamese,20,10000,197,8
